Date,TVL_sum
2022-05-22,1.330733279475901661089881422272333220136001801733473407425986027111894600091834e+11
2022-05-23,2.522837401263274016915586855421272620275764522109705362816737709671944311493517e+11
2022-05-24,1.917980434002653723567903980413689899128830719596101157013409655646500762697825e+11
2022-05-25,1.591301959036760550883715273926290064957696173876207698368565723790531078061131e+11
2022-05-26,1.95859609363711568796607646909049039323238562665754667871608953341178473981555e+11
2022-05-27,1.865981190429732312228909779844756653287002697419284937703227007044920587794832e+11
2022-05-28,1.359006611068673652246718669853974573332394528930182193288790660986100337615411e+11
2022-05-29,1.22623913109723744251776968672997441275758534199376003427092694724834876845572e+11
2022-05-30,1.721500621172803214838992943257917356303920506792172232068473393152070106432253e+11
2022-05-31,1.452662273927925046979084901954538631797313218009992703441211610528283406304947e+11
2022-06-01,1.708487817091701003648567469825539297780326246141522922666418534675824520122771e+11
2022-06-02,1.390631804763506559491548051056104271354471072953554044790207776272309596563588e+11
2022-06-03,1.760793999964359427290349589036703304711799370196247213306196780800702401411269e+11
2022-06-04,1.971015259930444630633645194284628493392563209953303500099001747171237006776728e+11
2022-06-05,1.347269625971406548872821834188163180483397706310809159520301450391871019490233e+11
2022-06-06,1.517708492940526002651113897211568878942160455574881125458516803097980456583747e+11
2022-06-07,1.49248430154058553746855848640772760982265330383435552840302811380869496085575e+11
2022-06-08,1.11081911929509048814571440698438231289501929524513910595667079844270413002708e+11
2022-06-09,1.022349870842315909893387393974554747659686110664768873294763300492156250703454e+11
2022-06-10,1.546353768234911087820722453998886836664929926471357475216046198939767530341443e+11
2022-06-11,1.774926017971281209364334597542999943154542246679325050285421202298793684022258e+11
2022-06-12,2.273354249289475191963414397011166802111810965467396525110500780605312950656316e+11
2022-06-13,3.428308927512182938526556675249748992965859378088342225200247693296100810688836e+11
2022-06-14,2.838588285036624254385064797503037724546403785171175373670896143803710709445952e+11
2022-06-15,2.949466136473110063333491327153095062291569601724212036292056187697971311322339e+11
2022-06-16,2.230129230972983155234296001645036318657013343458206165895995926301484222414686e+11
2022-06-17,1.783881971703848659643541407141080524368044381840856699825084590396105358933013e+11
2022-06-18,2.798988114415942606076373781780057848651660539835797278687315641963855314357344e+11
2022-06-19,2.190865862386975361680980600920154175373494134135358001689116669805832958177466e+11
2022-06-20,1.982721037685080340466508633788059863740415175475087704372570794470294780276409e+11
2022-06-21,1.949937307717396473765329956651638937471141662543107544596122269387530974595282e+11
2022-06-22,1.682509979154419107499845508807516301566754792322187924248436123075853569535284e+11
2022-06-23,1.500072518001308281361238039965036404146815995130133033883966131759790181824798e+11
2022-06-24,1.442432065507047327053259538125830180237684921148814269629005923509634476637338e+11
2022-06-25,1.4056516436123578657383990252088999702785664385397972296117288621291710956512e+11
2022-06-26,1.311139374387605295914442957682102399505055463208801938496323824883681259845311e+11
2022-06-27,1.325468753516684176679009260834564002141993917048185292767580038596345682111299e+11
2022-06-28,1.6872745159217209088348991091189857168094799435274912841162672369463839447492e+11
2022-06-29,1.64500198206969241258445805648515136550737842668465152459798843795272178431519e+11
2022-06-30,1.940711054160667007736159727010415462810279012175793447468494586466723431951656e+11
2022-07-01,1.709897805909206030612621697987109972812623420127565682292793495345575954245013e+11
2022-07-02,1.756314976349715189855746449438553674268247188893069688622430814607437108457443e+11
2022-07-03,1.451094944535254742853022395314671498806519812037850125847322182073089703393526e+11
2022-07-04,1.560280220645653009086826507468351623007874644679457120917958087957107820458e+11
2022-07-05,1.874426522958916856719803574388707386960612296453511393854999098519051494244998e+11
2022-07-06,2.160146348146449043020183904520271199206513764857094370604680942421260201308593e+11
2022-07-07,1.796949749740217588808940553306471836970066375504258897121027360870232706558863e+11
2022-07-08,2.105755005307624679271253778240089080941748072724902744109633668337696861701145e+11
2022-07-09,1.713390330026928538918906196005498744983842027280032707774891229336849088624418e+11
2022-07-10,1.470863038405144694778131955366188230975185343311811080024681565738380727521842e+11
2022-07-11,1.661306740298298287463292759023103333028708874449945343700722380202516660547796e+11
2022-07-12,1.855617884214639207196882840848826850437877943577319014741547869024296084317038e+11
2022-07-13,1.782794431673407904538834030231222330951705257889513541880662912014619990580984e+11
2022-07-14,1.695125995191410426317647172595553937897003428471195960184432810945690099872966e+11
2022-07-15,1.665003164095811447286993501224798127556448271803952500722842524601762337830119e+11
2022-07-16,1.892605161784883251024379701670501027037676364438620109440517343979360130658906e+11
2022-07-17,1.563002659268082060982664944011125422055820319277047871261469507025520504090493e+11
2022-07-18,2.458244184629186618712686352787615251914233523582010235413268498301701778390099e+11
2022-07-19,2.726555730362531647892420180099864655325073274003222977929900699508876277272374e+11
2022-07-20,2.593721777355836236395083965921945552477992086461980346916090808212821136750526e+11
2022-07-21,2.54549169661755658219889446852348647745173031225306862048640289907316031966503e+11
2022-07-22,2.293891616487899450075706072598320504980126859503714214139347287252884307513809e+11
2022-07-23,1.97167918519390972805970891586998306126041490672337638803817887595579186965422e+11
2022-07-24,1.653273799662262123210477586592247347583908330413760485855085008646267490301649e+11
2022-07-25,2.018644036462950539690508703333345797359965720499993256069680246542181026672102e+11
2022-07-26,2.057446125859585008864772841588676966430999231585537839315602352400664749338945e+11
2022-07-27,2.519189749579469896496460941293550635329355236934138419186478054325998064639439e+11
2022-07-28,2.357616697905852199836049719377873947128535149698420423162333496758031932874554e+11
2022-07-29,2.30792614674791106106923692634089418889077547589638135454183932022976768457356e+11
2022-07-30,2.278504094603807719500397097097303634059744221888109789761261119518372615030407e+11
2022-07-31,1.687874966785454914344049000998503955467971303698700022676783361968656088500182e+11
2022-08-01,2.099284692426313463640416505607143230078318768567419276626533592200226982265719e+11
2022-08-02,1.999807897173332918853176945432251839400670906548369546955761609998333153547815e+11
2022-08-03,2.018400336959039920454757730231248242503446868328605859179011407362481348168924e+11
2022-08-04,1.999172270837837501524159951556301266236154865927034567411343431827254778004774e+11
2022-08-05,2.023610645066602582252726238646860396550736512757041195178718865338278973218642e+11
2022-08-06,1.758876860272191593243030306973772551497961100243040696206208439805694250008706e+11
2022-08-07,1.475395850629645300258374473251751413064594640898196787661085657872404511958368e+11
2022-08-08,2.050484749670473827457257533255733149114608657739380705316100445160882151081509e+11
2022-08-09,1.74197105585571744339716727794030279741611739402733143075660536522080471902413e+11
2022-08-10,1.821857018063543326190636672483518468872282809272063912648153831517375877365893e+11
2022-08-11,1.786761889052670073074863087250796537916619684896219855317291283610705640121269e+11
2022-08-12,1.422891738172287937539107491661249500162230404771520702645344117197760371923505e+11
2022-08-13,1.716516199441693597241462680498202043692214622925029086551121287723959658904839e+11
2022-08-14,1.490702221133477461282290567430003677769722709577006267283417648667574754129013e+11
2022-08-15,1.509057224671297448448032360663743080488077947415329855813428205972342124338695e+11
2022-08-16,1.318917484366411369671444126916817390884599169087505032646210168987572500751564e+11
2022-08-17,1.221345467604174941579445924597462198851225973765740042739058409403521106152755e+11
2022-08-18,1.24725370073248736478298058044845457315937456900952061173566617594997183461843e+11
2022-08-19,1.822864124056553163781673074183150591020900754445321994102370955718041012941018e+11
2022-08-20,1.621522616515733101059143960419149670393585017422039498890856066756944759345578e+11
2022-08-21,1.4431876538991093655397481064163914731557925836942784653014403978833885381876e+11
2022-08-22,1.840359031894706846158677299954065428998597700164348996380532943159246725307379e+11
2022-08-23,1.608623038750941929591450244780834733852386461093542814116023848431340374987111e+11
2022-08-24,1.34556217962260289730426054641255942300635283948164379962475941297181891311754e+11
2022-08-25,1.308172675975583004141865254983944560911828503920650837118315740839916811898035e+11
2022-08-26,1.716366408079392707968815758113729108563573076991442266085043090827784892498939e+11
2022-08-27,1.411278187626631282421007607364479303620667267028963154069966233700371600881166e+11
2022-08-28,1.491298072868343532117791113795249965815880366128224671336710866352745788749163e+11
2022-08-29,1.726232376812331549792152546483058702535332341241527833076532264874249842881932e+11
2022-08-30,1.835438203548390697394283883037825109868665101360691880163477167492147723554369e+11
2022-08-31,2.005594945285879166565740869244186198557519182959191873819765535690348646968766e+11
2022-09-01,1.876948990200463671629159395251631214333857015540359620479948171863126768491577e+11
2022-09-02,1.627577128519313064727472821829935916909601263392033806354227438630208163171372e+11
2022-09-03,1.604497291760894787187561518744953362422072254839016526418037159764467735495642e+11
2022-09-04,1.598976370600833326077034447848742124847326634789218363933494583688076892555283e+11
2022-09-05,1.589853617682995662226354764884263384973083957934904144097371027807526262581402e+11
2022-09-06,2.060105044317106914824212045680682561924207787941708018162375337997358251416327e+11
2022-09-07,1.508802149947345306776249998442805243502157331732468733240846686996138753937732e+11
2022-09-08,1.530560708717698371492656799625105251679981178928837271014888484265262378024687e+11
2022-09-09,1.375023433627940625883194329116907941920810146804635614155530775139094121422404e+11
2022-09-10,1.392738743819719477747619007393243186756539686625851963417102672624467376794734e+11
2022-09-11,1.464304449742980653073526874627477837968495670650108599839497686455191569622729e+11
2022-09-12,1.222602010656432351648024525086606647667457369784602734512845598792574681723626e+11
2022-09-13,1.873524214676297904447475371602924587618286344465752077448742179369899201332473e+11
2022-09-14,1.165400100971313849300780870567749929481671291215022983079265935828331407182189e+11
2022-09-15,1.422279478716554156342498955639713261839061385999149280427783343949905279172098e+11
2022-09-16,1.459842869474204020391806715903955713405751294857283557215142842538447222535702e+11
2022-09-17,1.186192958907916981627940353225271973552596178560021035171456069350884069388974e+11
2022-09-18,1.632899255693796212329213180488647714353892608769393890549655567937293547861748e+11
2022-09-19,1.936299727729886407430719009159276874931941569250238456529252357259603270288216e+11
2022-09-20,1.979936555496475453752331778813448924955018905655574802633965207628446008471661e+11
2022-09-21,1.943537308495041078621839700404906700684700715262176274739330878616140946502518e+11
2022-09-22,1.960956181329227318176598823053560219018144043696655339269351308339745583915106e+11
2022-09-23,2.494861344396666696632595492284649879856793470029793268850260328426671873229502e+11
2022-09-24,2.402028740922887818655501649108604848694155808623631972873739039994792235874715e+11
2022-09-25,2.25573867598735519697773710512695479843731940385647917129719867250586751741101e+11
2022-09-26,3.468900622879600544135793180170534214483974047123761677283836122342988337135171e+11
2022-09-27,2.491836132813391554025410605819945301004868179804524416224263685902971092585899e+11
2022-09-28,2.911340522043441127979457176620626391662253358489370038288233136097084585823091e+11
2022-09-29,2.752782021726214261187499501939302917539953971360841400969994204090411432948697e+11
2022-09-30,2.778611665034410286746536313370667924427626173820967038126263873342511622578049e+11
